time;relative_humidity;precipitation;cloud_cover;surface_pressure
2026-01-01 00:00;72;0.00;52;993.9
2026-01-01 01:00;76;0.00;99;994.2
2026-01-01 02:00;76;0.00;100;994.3
2026-01-01 03:00;76;0.00;99;994.3
2026-01-01 04:00;77;0.00;66;994.2
2026-01-01 05:00;77;0.00;98;994.2
2026-01-01 06:00;74;0.00;100;993.9
2026-01-01 07:00;72;0.00;100;993.7
2026-01-01 08:00;68;0.00;98;993.9
2026-01-01 09:00;64;0.00;99;993.5
2026-01-01 10:00;60;0.00;99;992.8
2026-01-01 11:00;55;0.00;99;992.1
2026-01-01 12:00;55;0.00;70;990.2
2026-01-01 13:00;61;0.00;79;989.0
2026-01-01 14:00;71;0.00;62;988.5
2026-01-01 15:00;76;0.00;100;987.8
2026-01-01 16:00;73;0.00;99;987.2
2026-01-01 17:00;69;0.00;100;986.7
2026-01-01 18:00;67;0.00;100;985.9
2026-01-01 19:00;72;0.00;98;985.7
2026-01-01 20:00;76;0.00;99;985.3
2026-01-01 21:00;80;0.00;99;985.3
2026-01-01 22:00;74;0.00;100;985.1
2026-01-01 23:00;55;0.00;98;984.5
2026-01-02 00:00;50;0.00;100;984.1
2026-01-02 01:00;59;0.00;100;984.0
2026-01-02 02:00;69;0.00;100;984.1
2026-01-02 03:00;72;0.00;99;983.6
2026-01-02 04:00;64;0.00;100;983.3
2026-01-02 05:00;57;0.00;100;982.9
2026-01-02 06:00;47;0.00;100;983.1
2026-01-02 07:00;55;0.00;100;983.2
2026-01-02 08:00;69;0.00;100;983.0
2026-01-02 09:00;71;0.00;98;982.7
2026-01-02 10:00;62;0.00;99;982.6
2026-01-02 11:00;60;0.00;97;982.2
2026-01-02 12:00;53;0.00;100;981.7
2026-01-02 13:00;58;0.00;95;981.4
2026-01-02 14:00;65;0.00;86;981.7
2026-01-02 15:00;70;0.00;23;982.0
2026-01-02 16:00;73;0.00;16;982.0
2026-01-02 17:00;73;0.00;27;981.6
2026-01-02 18:00;68;0.00;85;981.9
2026-01-02 19:00;72;0.00;82;981.7
2026-01-02 20:00;76;0.00;92;981.5
2026-01-02 21:00;72;0.00;16;981.5
2026-01-02 22:00;67;0.00;95;981.4
2026-01-02 23:00;67;0.00;100;981.4
2026-01-03 00:00;74;0.00;100;981.2
2026-01-03 01:00;78;0.00;27;981.6
2026-01-03 02:00;73;0.00;95;982.2
2026-01-03 03:00;78;0.00;77;982.7
2026-01-03 04:00;80;0.00;5;983.3
2026-01-03 05:00;79;0.00;2;983.5
2026-01-03 06:00;71;0.00;4;984.5
2026-01-03 07:00;65;0.00;1;985.5
2026-01-03 08:00;64;0.00;1;986.5
2026-01-03 09:00;65;0.00;0;987.3
2026-01-03 10:00;65;0.00;0;987.2
2026-01-03 11:00;63;0.00;0;987.4
2026-01-03 12:00;46;0.00;0;987.4
2026-01-03 13:00;50;0.00;0;987.4
2026-01-03 14:00;56;0.00;27;987.6
2026-01-03 15:00;71;0.10;37;987.6
2026-01-03 16:00;86;0.00;36;987.5
2026-01-03 17:00;92;0.00;40;987.3
2026-01-03 18:00;89;0.00;84;987.7
2026-01-03 19:00;92;0.00;81;988.0
2026-01-03 20:00;95;0.00;100;988.6
2026-01-03 21:00;96;0.00;100;988.9
2026-01-03 22:00;96;0.00;100;988.8
2026-01-03 23:00;94;0.00;100;988.8
2026-01-04 00:00;84;0.00;100;988.7
2026-01-04 01:00;61;0.00;100;989.1
2026-01-04 02:00;60;0.00;97;989.2
2026-01-04 03:00;64;0.00;100;989.9
2026-01-04 04:00;67;0.00;100;990.0
2026-01-04 05:00;68;0.00;100;990.2
2026-01-04 06:00;67;0.00;96;991.1
2026-01-04 07:00;71;0.00;71;991.5
2026-01-04 08:00;69;0.00;0;992.4
2026-01-04 09:00;60;0.00;0;993.3
2026-01-04 10:00;56;0.00;0;993.4
2026-01-04 11:00;56;0.00;0;993.6
2026-01-04 12:00;50;0.00;0;993.5
2026-01-04 13:00;50;0.00;0;993.3
2026-01-04 14:00;55;0.00;0;993.5
2026-01-04 15:00;61;0.00;0;993.8
2026-01-04 16:00;65;0.00;0;994.3
2026-01-04 17:00;67;0.00;0;994.7
2026-01-04 18:00;67;0.00;0;995.0
2026-01-04 19:00;70;0.00;0;995.3
2026-01-04 20:00;72;0.00;0;995.6
2026-01-04 21:00;71;0.00;0;995.9
2026-01-04 22:00;77;0.00;0;995.9
2026-01-04 23:00;82;0.00;0;995.9
2026-01-05 00:00;79;0.00;0;995.8
2026-01-05 01:00;80;0.00;0;995.6
2026-01-05 02:00;79;0.00;0;995.6
2026-01-05 03:00;80;0.00;0;995.6
2026-01-05 04:00;82;0.00;0;995.5
2026-01-05 05:00;83;0.00;2;995.4
2026-01-05 06:00;85;0.00;52;995.4
2026-01-05 07:00;85;0.00;100;995.5
2026-01-05 08:00;74;0.00;100;995.7
2026-01-05 09:00;66;0.00;100;995.9
2026-01-05 10:00;61;0.00;100;995.8
2026-01-05 11:00;58;0.00;100;995.5
2026-01-05 12:00;63;0.00;100;994.6
2026-01-05 13:00;64;0.10;100;994.2
2026-01-05 14:00;66;0.20;100;994.1
2026-01-05 15:00;70;0.20;100;994.1
2026-01-05 16:00;75;0.20;100;994.1
2026-01-05 17:00;81;0.40;100;993.8
2026-01-05 18:00;85;0.40;100;993.7
2026-01-05 19:00;87;0.30;100;993.7
2026-01-05 20:00;87;0.20;100;993.7
2026-01-05 21:00;86;0.10;100;993.8
2026-01-05 22:00;84;0.10;100;993.8
2026-01-05 23:00;82;0.00;100;993.8
2026-01-06 00:00;77;0.00;100;993.9
2026-01-06 01:00;71;0.10;98;993.9
2026-01-06 02:00;69;0.00;100;993.9
2026-01-06 03:00;67;0.00;62;994.0
2026-01-06 04:00;67;0.00;20;994.3
2026-01-06 05:00;66;0.00;53;994.4
2026-01-06 06:00;70;0.00;59;994.9
2026-01-06 07:00;75;0.00;71;995.0
2026-01-06 08:00;75;0.00;44;995.4
2026-01-06 09:00;73;0.00;48;995.7
2026-01-06 10:00;67;0.00;100;995.9
2026-01-06 11:00;62;0.00;100;995.7
2026-01-06 12:00;61;0.00;100;995.4
2026-01-06 13:00;63;0.00;100;994.9
2026-01-06 14:00;66;0.10;100;995.3
2026-01-06 15:00;70;0.20;100;995.2
2026-01-06 16:00;72;0.30;100;995.3
2026-01-06 17:00;74;0.10;100;995.7
2026-01-06 18:00;76;0.10;100;995.9
2026-01-06 19:00;73;0.10;100;995.7
2026-01-06 20:00;73;0.10;100;995.3
2026-01-06 21:00;72;0.00;100;995.3
2026-01-06 22:00;72;0.00;100;996.0
2026-01-06 23:00;73;0.10;100;995.8
2026-01-07 00:00;70;0.00;93;994.7
2026-01-07 01:00;69;0.00;100;995.3
2026-01-07 02:00;67;0.00;100;995.3
2026-01-07 03:00;68;0.00;100;995.3
2026-01-07 04:00;70;0.00;100;995.2
2026-01-07 05:00;71;0.00;49;995.6
2026-01-07 06:00;71;0.00;42;995.6
2026-01-07 07:00;71;0.00;0;996.2
2026-01-07 08:00;68;0.00;20;996.3
2026-01-07 09:00;63;0.00;100;996.4
2026-01-07 10:00;58;0.00;98;996.2
2026-01-07 11:00;54;0.00;100;995.6
2026-01-07 12:00;57;0.00;98;994.7
2026-01-07 13:00;57;0.00;100;994.2
2026-01-07 14:00;59;0.00;93;993.7
2026-01-07 15:00;62;0.00;100;993.8
2026-01-07 16:00;64;0.00;100;993.8
2026-01-07 17:00;65;0.00;100;993.6
2026-01-07 18:00;65;0.00;13;993.3
2026-01-07 19:00;67;0.00;19;992.9
2026-01-07 20:00;68;0.00;90;992.8
2026-01-07 21:00;67;0.00;89;992.5
2026-01-07 22:00;65;0.00;100;992.2
2026-01-07 23:00;64;0.00;100;992.1
2026-01-08 00:00;63;0.00;12;991.4
2026-01-08 01:00;68;0.00;7;991.0
2026-01-08 02:00;70;0.00;4;991.2
2026-01-08 03:00;70;0.00;9;991.3
2026-01-08 04:00;70;0.00;5;991.4
2026-01-08 05:00;70;0.00;1;991.5
2026-01-08 06:00;70;0.00;0;991.6
2026-01-08 07:00;70;0.00;0;991.8
2026-01-08 08:00;67;0.00;0;992.1
2026-01-08 09:00;60;0.00;0;992.3
2026-01-08 10:00;54;0.00;0;992.2
2026-01-08 11:00;49;0.00;0;991.6
2026-01-08 12:00;48;0.00;0;991.3
2026-01-08 13:00;48;0.00;13;991.0
2026-01-08 14:00;49;0.00;18;991.2
2026-01-08 15:00;55;0.00;98;991.5
2026-01-08 16:00;56;0.00;100;991.7
2026-01-08 17:00;57;0.00;100;991.9
2026-01-08 18:00;58;0.00;100;992.1
2026-01-08 19:00;59;0.00;100;992.1
2026-01-08 20:00;61;0.00;100;992.0
2026-01-08 21:00;62;0.00;100;991.9
2026-01-08 22:00;64;0.00;8;991.6
2026-01-08 23:00;73;0.00;0;991.0
2026-01-09 00:00;76;0.00;5;990.4
2026-01-09 01:00;79;0.00;27;990.4
2026-01-09 02:00;80;0.00;44;990.3
2026-01-09 03:00;84;0.00;67;989.1
2026-01-09 04:00;82;0.00;100;987.9
2026-01-09 05:00;76;0.00;100;987.5
2026-01-09 06:00;79;0.10;100;987.5
2026-01-09 07:00;79;0.00;100;986.9
2026-01-09 08:00;77;0.10;100;985.9
2026-01-09 09:00;81;0.30;100;986.1
2026-01-09 10:00;83;0.70;100;984.8
2026-01-09 11:00;86;0.90;100;983.6
2026-01-09 12:00;87;0.40;100;983.6
2026-01-09 13:00;88;0.30;100;983.1
2026-01-09 14:00;88;0.00;100;982.4
2026-01-09 15:00;90;0.00;100;982.5
2026-01-09 16:00;91;0.00;100;982.2
2026-01-09 17:00;91;0.00;100;981.8
2026-01-09 18:00;91;0.00;100;982.3
2026-01-09 19:00;91;0.00;100;982.5
2026-01-09 20:00;92;0.00;100;982.4
2026-01-09 21:00;91;0.00;100;982.5
2026-01-09 22:00;90;0.00;100;982.6
2026-01-09 23:00;90;0.00;100;982.2
2026-01-10 00:00;91;0.00;100;982.1
2026-01-10 01:00;89;0.00;100;982.1
2026-01-10 02:00;91;0.10;100;982.3
2026-01-10 03:00;92;0.00;100;982.2
2026-01-10 04:00;92;0.00;100;982.5
2026-01-10 05:00;92;0.00;100;982.3
2026-01-10 06:00;91;0.00;100;982.5
2026-01-10 07:00;90;0.00;100;982.8
2026-01-10 08:00;89;0.00;98;983.0
2026-01-10 09:00;88;0.00;91;983.0
2026-01-10 10:00;83;0.00;91;983.3
2026-01-10 11:00;80;0.00;97;983.4
2026-01-10 12:00;87;0.00;100;983.5
2026-01-10 13:00;86;0.00;100;983.4
2026-01-10 14:00;82;0.00;100;983.9
2026-01-10 15:00;79;0.00;99;984.9
2026-01-10 16:00;75;0.00;99;986.4
2026-01-10 17:00;73;0.00;100;987.5
2026-01-10 18:00;68;0.00;89;988.4
2026-01-10 19:00;64;0.00;98;989.9
2026-01-10 20:00;64;0.00;94;991.3
2026-01-10 21:00;67;0.00;85;992.5
2026-01-10 22:00;69;0.00;21;993.5
2026-01-10 23:00;72;0.00;2;993.8
2026-01-11 00:00;71;0.00;85;994.5
2026-01-11 01:00;67;0.00;91;995.1
2026-01-11 02:00;65;0.00;100;995.4
2026-01-11 03:00;70;0.00;77;995.8
2026-01-11 04:00;73;0.00;38;996.1
2026-01-11 05:00;76;0.00;94;997.0
2026-01-11 06:00;75;0.00;100;997.5
2026-01-11 07:00;72;0.00;100;997.8
2026-01-11 08:00;70;0.00;100;998.4
2026-01-11 09:00;63;0.00;100;999.1
2026-01-11 10:00;60;0.00;100;999.5
2026-01-11 11:00;56;0.00;95;999.3
2026-01-11 12:00;54;0.00;100;999.2
2026-01-11 13:00;50;0.00;99;999.4
2026-01-11 14:00;47;0.00;99;999.7
2026-01-11 15:00;46;0.00;91;1000.0
2026-01-11 16:00;45;0.00;72;1000.5
2026-01-11 17:00;46;0.00;88;1001.3
2026-01-11 18:00;41;0.00;66;1001.2
2026-01-11 19:00;42;0.00;45;1001.6
2026-01-11 20:00;45;0.00;38;1001.9
2026-01-11 21:00;49;0.00;10;1002.2
2026-01-11 22:00;51;0.00;0;1002.3
2026-01-11 23:00;53;0.00;0;1002.3
2026-01-12 00:00;53;0.00;2;1002.4
2026-01-12 01:00;59;0.00;0;1002.8
2026-01-12 02:00;57;0.00;0;1002.9
2026-01-12 03:00;60;0.00;0;1002.8
2026-01-12 04:00;63;0.00;0;1002.4
2026-01-12 05:00;67;0.00;0;1002.3
2026-01-12 06:00;68;0.00;9;1002.4
2026-01-12 07:00;71;0.00;1;1002.0
2026-01-12 08:00;69;0.00;48;1002.6
2026-01-12 09:00;63;0.00;100;1002.6
2026-01-12 10:00;59;0.00;100;1002.2
2026-01-12 11:00;61;0.00;100;1001.8
2026-01-12 12:00;56;0.00;100;1001.5
2026-01-12 13:00;68;0.00;100;1000.8
2026-01-12 14:00;63;0.00;100;1000.5
2026-01-12 15:00;69;0.00;100;1000.0
2026-01-12 16:00;70;0.00;100;1000.0
2026-01-12 17:00;71;0.00;100;999.9
2026-01-12 18:00;69;0.10;100;999.7
2026-01-12 19:00;77;0.20;100;999.6
2026-01-12 20:00;79;0.30;100;999.7
2026-01-12 21:00;83;0.20;100;999.3
2026-01-12 22:00;86;0.20;100;999.1
2026-01-12 23:00;86;0.00;100;998.7
2026-01-13 00:00;89;0.00;100;998.7
2026-01-13 01:00;90;0.10;100;998.5
2026-01-13 02:00;90;0.40;100;998.4
2026-01-13 03:00;90;0.80;100;997.8
2026-01-13 04:00;92;0.60;100;997.1
2026-01-13 05:00;92;0.30;100;996.9
2026-01-13 06:00;93;0.50;100;996.3
2026-01-13 07:00;94;0.90;100;996.9
2026-01-13 08:00;93;0.80;100;997.0
2026-01-13 09:00;95;0.00;100;997.7
2026-01-13 10:00;96;0.00;100;998.1
2026-01-13 11:00;95;0.10;100;998.2
2026-01-13 12:00;95;0.00;100;998.4
2026-01-13 13:00;95;0.00;99;998.6
2026-01-13 14:00;95;0.00;50;998.9
2026-01-13 15:00;96;0.00;42;999.1
2026-01-13 16:00;96;0.00;28;999.4
2026-01-13 17:00;95;0.00;24;999.5
2026-01-13 18:00;96;0.00;92;1000.2
2026-01-13 19:00;96;0.00;98;1000.7
2026-01-13 20:00;95;0.00;100;1001.3
2026-01-13 21:00;95;0.00;100;1001.7
2026-01-13 22:00;94;0.00;100;1001.6
2026-01-13 23:00;93;0.00;100;1001.2
2026-01-14 00:00;94;0.00;100;1001.0
2026-01-14 01:00;93;0.00;100;1001.0
2026-01-14 02:00;94;0.00;100;1000.9
2026-01-14 03:00;94;0.00;100;1000.6
2026-01-14 04:00;94;0.00;100;1000.7
2026-01-14 05:00;93;0.00;100;1000.5
2026-01-14 06:00;94;0.00;100;1000.7
2026-01-14 07:00;94;0.00;100;1001.2
2026-01-14 08:00;93;0.00;100;1001.4
2026-01-14 09:00;92;0.00;100;1001.7
2026-01-14 10:00;91;0.00;100;1001.7
2026-01-14 11:00;90;0.00;100;1001.4
2026-01-14 12:00;89;0.00;100;1001.1
2026-01-14 13:00;90;0.00;100;1001.1
2026-01-14 14:00;90;0.00;100;1001.2
2026-01-14 15:00;91;0.00;100;1001.1
2026-01-14 16:00;94;0.00;100;1001.2
2026-01-14 17:00;95;0.00;100;1001.2
2026-01-14 18:00;96;0.00;100;1001.4
2026-01-14 19:00;96;0.00;100;1001.3
2026-01-14 20:00;98;0.00;100;1001.3
2026-01-14 21:00;99;0.00;100;1001.5
2026-01-14 22:00;99;0.00;100;1001.6
2026-01-14 23:00;98;0.00;100;1001.6
2026-01-15 00:00;99;0.00;100;1001.6
2026-01-15 01:00;98;0.00;100;1001.6
2026-01-15 02:00;98;0.00;100;1001.5
2026-01-15 03:00;98;0.00;100;1001.3
2026-01-15 04:00;99;0.00;100;1001.2
2026-01-15 05:00;99;0.00;100;1001.2
2026-01-15 06:00;99;0.00;100;1001.5
2026-01-15 07:00;99;0.00;100;1001.7
2026-01-15 08:00;99;0.00;100;1001.8
2026-01-15 09:00;96;0.00;100;1002.0
2026-01-15 10:00;95;0.00;100;1002.2
2026-01-15 11:00;95;0.00;100;1002.3
2026-01-15 12:00;94;0.00;100;1002.1
2026-01-15 13:00;93;0.00;100;1001.7
2026-01-15 14:00;93;0.00;100;1001.5
2026-01-15 15:00;96;0.00;100;1001.5
2026-01-15 16:00;99;0.00;100;1001.9
2026-01-15 17:00;100;0.20;100;1002.3
2026-01-15 18:00;99;0.30;100;1002.2
2026-01-15 19:00;99;0.00;100;1002.6
2026-01-15 20:00;99;0.00;100;1002.6
2026-01-15 21:00;99;0.00;100;1002.8
2026-01-15 22:00;99;0.00;100;1002.6
2026-01-15 23:00;100;0.00;100;1002.5
2026-01-16 00:00;100;0.00;100;1002.8
2026-01-16 01:00;99;0.00;100;1002.9
2026-01-16 02:00;99;0.00;100;1002.6
2026-01-16 03:00;99;0.00;100;1002.9
2026-01-16 04:00;99;0.00;100;1002.7
2026-01-16 05:00;99;0.00;100;1002.6
2026-01-16 06:00;99;0.00;100;1002.8
2026-01-16 07:00;99;0.00;100;1003.2
2026-01-16 08:00;97;0.00;100;1003.5
2026-01-16 09:00;96;0.00;100;1004.1
2026-01-16 10:00;95;0.00;100;1004.7
2026-01-16 11:00;94;0.00;100;1004.6
2026-01-16 12:00;94;0.00;100;1004.5
